row_id,brand,part_type,part_subtype,vercel_component_type,primary_part_number,input_alt_part_numbers,extracted_alt_part_numbers,product_name_verified,machine_fitments_text,serial_break_notes,chassis_mount_notes,interchange_supersession_notes,component_seo_title,component_h1,meta_description,source_confidence,source_status,rubbertrax_verified,publish_recommendation,should_publish_part_page,source_url,notes_for_vercel
11,Bobcat,roller,bottom,bottom_roller,7022649,,,"Bobcat E60, E62, E63, Doosan D60R, D63-3, DX55","Bobcat E60, E62, E63, Doosan D60R, D63-3, DX55","Bobcat� E60 (Serials AET811348 & Above, AGSZ11348 & Above), Bobcat� E62 (Serials B34P11001 - B34P11437), Bobcat� E63 (Serials B34R11172 - B34R11612)",,,,Bobcat 7022649 Bottom Roller,,High,URL provided; extraction not completed in this first pass,PENDING,DO NOT PUBLISH - needs RubberTrax verification,NO,https://store.rubbertrax.com/Bobcat-sup-sup-E60-E62-E63-Aftermarket-Bottom-Roller-p3063.htm?srsltid=AfmBOoq149o64hpVf7mDicO5zkzeyeouFUNbdXij5_gdf0FPdQ1P1zLU,RubberTrax URL present but extraction not completed/verified; do not publish part page.
12,Bobcat,sprocket,sprocket,sprocket_sprocket,7111447,,,Bobcat T110 Drive Sprocket 7111447,Bobcat T110 mini track loader; Baumalight TRL620D noted as interchangeable,,Drive sprocket; one per side.,Outside diameter 12-1/4 in; keyway diameter 1-3/4 in. RubberTrax recommends changing sprockets with tracks when worn.,Bobcat 7111447 Sprocket Sprocket | Rubber Track Wholesale,Bobcat T110 Drive Sprocket 7111447,Replacement sprocket sprocket 7111447 for Bobcat machines. Verify serial number and fitment before ordering. Call Rubber Track Wholesale for help.,High,EXTRACTED - RubberTrax page text reviewed,YES,READY FOR OWNER APPROVAL - RubberTrax verified,NO - staged until owner changes publish flag to YES,https://store.rubbertrax.com/Bobcat-sup-sup-T110-Drive-Sprocket-7111447-241p749.htm,Use as staged RubberTrax-verified enrichment. Create public part page only after owner sets should_publish_part_page=YES.
13,Bobcat,roller,bottom,bottom_roller,7165324,,7145234,Bobcat 418/E08/E10 Bottom Roller 7165324,"Bobcat 418, E08, E10, E10E, E10Z",,Bottom roller assembly; comes fully assembled with bearing but shaft typically reusable; bolts not included.,Related sprocket 7134493 mentioned by RubberTrax.,Bobcat 7165324 Bottom Roller | Rubber Track Wholesale,Bobcat 418/E08/E10 Bottom Roller 7165324,Replacement bottom roller 7165324 for Bobcat machines. Verify serial number and fitment before ordering. Call Rubber Track Wholesale for help.,High,EXTRACTED - RubberTrax page text reviewed,YES,READY FOR OWNER APPROVAL - RubberTrax verified,NO - staged until owner changes publish flag to YES,https://store.rubbertrax.com/Bobcat-sup-sup-418-E08-E10-Bottom-Roller-27p3065.htm,Use as staged RubberTrax-verified enrichment. Create public part page only after owner sets should_publish_part_page=YES.
14,Bobcat,roller,bottom,bottom_roller,7233399,,6693239,Bobcat Suspension Mount Bottom Roller 7233399 - High Serials,"Bobcat T550, T590, T595, T630, T650, T750, T770 with suspension undercarriage",Fits AJZV14001-AJZV14999 or AJZV15001+; if A7UJ11001+ or AJZV11001+ use 6693239.,Suspension undercarriage; high-serial roller assembly.,Call/verify serial before ordering.,Bobcat 7233399 Bottom Roller | Rubber Track Wholesale,Bobcat Suspension Mount Bottom Roller 7233399 - High Serials,Replacement bottom roller 7233399 for Bobcat machines. Verify serial number and fitment before ordering. Call Rubber Track Wholesale for help.,High,EXTRACTED - RubberTrax page text reviewed,YES,READY FOR OWNER APPROVAL - RubberTrax verified,NO - staged until owner changes publish flag to YES,https://store.rubbertrax.com/Bobcat-sup-sup-Suspension-Mount-Bottom-Rollers-High-Serials-16p3079.htm,Use as staged RubberTrax-verified enrichment. Create public part page only after owner sets should_publish_part_page=YES.
15,Bobcat,sprocket,drive,drive_sprocket,7107787,7165109,7165109; 7107786; 6715821; 7196807; 7227421,Bobcat T300 Series CTL Deep Drive Sprocket 7107787,"Bobcat T200, T250, T300, T320, T630, T650 single speed, T740, T750 single speed, T770, T870 single speed up to B47C110000","T740/T770/T870 have multiple sprocket options; verify serial, bolt holes and depth. T870 single speed up to B47C110000.","Deep/dished 6-inch depth sprocket for newer wide final-drive motor; 17 teeth, 6 bolt holes, 6-1/4 in inside mounting diameter, 18-1/2 in outside diameter.",Older 6715821 is 4-7/8 inch shallow version; 7196807 and 7227421 are other options.,Bobcat 7107787 Drive Sprocket | Rubber Track Wholesale,Bobcat T300 Series CTL Deep Drive Sprocket 7107787,Replacement drive sprocket 7107787 for Bobcat machines. Verify serial number and fitment before ordering. Call Rubber Track Wholesale for help.,High,EXTRACTED - RubberTrax page text reviewed,YES,READY FOR OWNER APPROVAL - RubberTrax verified,NO - staged until owner changes publish flag to YES,https://store.rubbertrax.com/Bobcat-T300-Series-CTL-DEEP-Sprocket-7107787-16p57.htm,Use as staged RubberTrax-verified enrichment. Create public part page only after owner sets should_publish_part_page=YES.
16,CAT,roller,bottom,bottom_roller,139-6261,,232-4466,Caterpillar 301.5/301.6/301.8 Bottom Track Roller 139-6261,"Cat 301.5, 301.6, 301.6C, 301.8, 301.8C; Mitsubishi MM15",Lower serial numbers; Cat 301.5 up to 3YW13759. Higher serial ranges require 232-4466.,Mini excavator bottom roller; hardware not included.,"Related parts: sprocket 139-4304, idler 226-4049, bottom roller 232-4466.",CAT 139-6261 Bottom Roller | Rubber Track Wholesale,Caterpillar 301.5/301.6/301.8 Bottom Track Roller 139-6261,Replacement bottom roller 139-6261 for CAT machines. Verify serial number and fitment before ordering. Call Rubber Track Wholesale for help.,High,EXTRACTED - RubberTrax page text reviewed,YES,READY FOR OWNER APPROVAL - RubberTrax verified,NO - staged until owner changes publish flag to YES,https://store.rubbertrax.com/Caterpillar-301-5-301-6-301-8-Bottom-Track-Roller-227p414.htm,Use as staged RubberTrax-verified enrichment. Create public part page only after owner sets should_publish_part_page=YES.
17,CAT,roller,bottom,bottom_roller,158-4765,340-8957|333-5606,,,,,,,,CAT 158-4765 Bottom Roller,,High,URL provided; extraction not completed in this first pass,PENDING,DO NOT PUBLISH - needs RubberTrax verification,NO,https://store.rubbertrax.com/Caterpillar-304-5-305-5-Bottom-Roller-158-4765-226p404.htm,RubberTrax URL present but extraction not completed/verified; do not publish part page.
18,CAT,roller,bottom,bottom_roller,185-7280,,,Cat 302.5/303.5/303CR Bottom Roller 185-7280,"Caterpillar 302.5, 303.5, 303CR; Mitsubishi MM25, MM35",,"Single flange roller, approx. 4-3/4 in diameter; 302.5 uses six rollers; 303.5/303CR use eight rollers. 10mm bolts not included.","Related Cat 302.5/303.5 undercarriage includes idlers 140-4009/172-2017, sprockets 140-4022/172-1965, top roller 146-6064.",CAT 185-7280 Bottom Roller | Rubber Track Wholesale,Cat 302.5/303.5/303CR Bottom Roller 185-7280,Replacement bottom roller 185-7280 for CAT machines. Verify serial number and fitment before ordering. Call Rubber Track Wholesale for help.,High,EXTRACTED - RubberTrax page text reviewed,YES,READY FOR OWNER APPROVAL - RubberTrax verified,NO - staged until owner changes publish flag to YES,https://store.rubbertrax.com/Cat-302-5-303-5-303CR-Roller-185-7280-225p399.htm,Use as staged RubberTrax-verified enrichment. Create public part page only after owner sets should_publish_part_page=YES.
19,CAT,roller,bottom,bottom_roller,185-7280,9078302,,"Cat 302.5,303.5, 303CR, 303CR, Mitsubishi MM25, MM35","Cat 302.5,303.5, 303CR, 303CR, Mitsubishi MM25, MM35",,,,,CAT 1857280 Bottom Roller,,High,URL provided; extraction not completed in this first pass,PENDING,DO NOT PUBLISH - needs RubberTrax verification,NO,https://store.rubbertrax.com/Cat-302-5-303-5-303CR-Roller-185-7280-p399.htm?srsltid=AfmBOopFMBLKu_LWMKNA2n_LpmE10xPJzfnUBORxaxmLgx9subf1N3nT,RubberTrax URL present but extraction not completed/verified; do not publish part page.
20,CAT,roller,bottom,bottom_roller,265-7674,,422-0837,Cat 304C CR / 305C CR Bottom Roller 265-7674,"Caterpillar 304CCR, 305CCR, 305DCR, 305ECR, 305E2, 305E2CR, 305.5D, 305.5DCR, 305.5E, 305.5E2, 305.5ECR, 303.5E2CR, 305.5E2FB, 306E2FB",305E2CR S/N DJX/H5M; 305.5D S/N FLZ; 305.5E2 S/N EJX/CR5; 305.5E2FB S/N WE2; 306E2FB S/N E2W noted by RubberTrax.,Single flange center guide bottom roller; bolts to track frame with two bolts.,Superseded to 422-0837.,CAT 265-7674 Bottom Roller | Rubber Track Wholesale,Cat 304C CR / 305C CR Bottom Roller 265-7674,Replacement bottom roller 265-7674 for CAT machines. Verify serial number and fitment before ordering. Call Rubber Track Wholesale for help.,High,EXTRACTED - RubberTrax page text reviewed,YES,READY FOR OWNER APPROVAL - RubberTrax verified,NO - staged until owner changes publish flag to YES,https://store.rubbertrax.com/Caterpillar-304C-CR-305C-CR-Bottom-Roller-265-7674-312p695.htm,Use as staged RubberTrax-verified enrichment. Create public part page only after owner sets should_publish_part_page=YES.
21,CAT,roller,bottom,bottom_roller,266-8793,,266-8793; 468-7455,Caterpillar 302.5C / 303CCR Bottom Roller 266-8793,"Cat 302.5C, 303CCR, 303ECR, 303.5C, 303.5CCR, 303.5D, 303.5DCR, 303.5E, 303.5ECR, 303.5E2CR, 304DCR, 304E, 304ECR, 304E2CR, 304.5E2 CR XTC",No specific serial break extracted from page text; verify by serial before ordering.,Center flange inside-guide bottom roller; bolts not included.,RubberTrax says 266-8793 is superseded by Cat dealer part number 468-7455.,Cat 266-8793 Bottom Roller | Rubber Track Wholesale,Cat 302.5C / 303.5C Bottom Roller 266-8793,"Replacement bottom roller 266-8793 for Cat 302.5C, 303CCR, 303.5C and related mini excavators. Verify serial number and fitment before ordering.",High,EXTRACTED - RubberTrax page text reviewed,YES,READY FOR OWNER APPROVAL - RubberTrax verified,NO - staged until owner changes publish flag to YES,https://store.rubbertrax.com/Cat-302-5C-303CCR-Rollers-266-8793-311p732.htm,Use as staged RubberTrax-verified enrichment. Create public part page only after owner sets should_publish_part_page=YES.
22,CAT,roller,bottom,bottom_roller,372-5926,527-3878,372-5926; 372-5958; 527-3878,Caterpillar 300.9D Bottom Roller 372-5926 / 527-3878,"Cat 300.9D S/N LJ2; Cat 300.9D VPS S/N TGP, DW2",RubberTrax states fitment is for the specified 300.9D serial breaks; verify serial before ordering.,Mini excavator bottom roller; includes installation hardware per RubberTrax text.,Original part number 372-5926 superseded by 527-3878; 372-5958 also listed.,Cat 372-5926 Bottom Roller | Rubber Track Wholesale,Cat 300.9D Bottom Roller 372-5926 / 527-3878,Replacement bottom roller 372-5926 / 527-3878 for Cat 300.9D mini excavators. Verify serial number and fitment before ordering.,High,EXTRACTED - RubberTrax page text reviewed,YES,READY FOR OWNER APPROVAL - RubberTrax verified,NO - staged until owner changes publish flag to YES,https://store.rubbertrax.com/Caterpillar-300-9D-Bottom-Roller-527-3878-582p3246.htm,Use as staged RubberTrax-verified enrichment. Create public part page only after owner sets should_publish_part_page=YES.
23,CAT,roller,bottom,bottom_roller,381-3040,,,"Cat 301.4C, 301.7D, 301.7DCR, 302.2D","Cat 301.4C, 301.7D, 301.7DCR, 302.2D",,,,,CAT 381-3040 Bottom Roller,,High,URL provided; extraction not completed in this first pass,PENDING,DO NOT PUBLISH - needs RubberTrax verification,NO,https://store.rubbertrax.com/Caterpillar-301-4C-301-7D-Bottom-Roller-295p768.htm,RubberTrax URL present but extraction not completed/verified; do not publish part page.
24,CAT,roller,bottom,bottom_roller,386-0791,,,"Cat 302.4D, 302.7DCR","Cat 302.4D, 302.7DCR",,,,,CAT 386-0791 Bottom Roller,,High,URL provided; extraction not completed in this first pass,PENDING,DO NOT PUBLISH - needs RubberTrax verification,NO,https://store.rubbertrax.com/Caterpillar-302-4D-302-7DCR-Bottom-Roller-402p3024.htm,RubberTrax URL present but extraction not completed/verified; do not publish part page.
25,CAT,roller,bottom,bottom_roller,422-0837,,265-7674,Cat 304C CR / 305C CR Bottom Roller 422-0837,Same page as 265-7674: Cat 304/305/305.5/306E2 family listed,See 265-7674 serial notes.,Single flange center guide bottom roller.,422-0837 is supersession from 265-7674.,CAT 422-0837 Bottom Roller | Rubber Track Wholesale,Cat 304C CR / 305C CR Bottom Roller 422-0837,Replacement bottom roller 422-0837 for CAT machines. Verify serial number and fitment before ordering. Call Rubber Track Wholesale for help.,High,EXTRACTED - RubberTrax page text reviewed,YES,READY FOR OWNER APPROVAL - RubberTrax verified,NO - staged until owner changes publish flag to YES,https://store.rubbertrax.com/Caterpillar-304C-CR-305C-CR-Bottom-Roller-265-7674-312p695.htm,Use as staged RubberTrax-verified enrichment. Create public part page only after owner sets should_publish_part_page=YES.
26,John Deere,roller,bottom,bottom_roller,4340535,,9237937,"John Deere 27ZTS, 35ZTS, 26G, 27C, 27ZTS, 27D, 35C, 35D, 35G, Airman AX35","John Deere 27ZTS, 35ZTS, 26G, 27C, 27ZTS, 27D, 35C, 35D, 35G, Airman AX35",,,,,John Deere 4340535 Bottom Roller,,High,URL provided; extraction not completed in this first pass,PENDING,DO NOT PUBLISH - needs RubberTrax verification,NO,https://store.rubbertrax.com/John-Deere-27ZTS-35ZTS-Bottom-Track-Roller-4340535-45p318.htm,RubberTrax URL present but extraction not completed/verified; do not publish part page.
27,John Deere,roller,bottom,bottom_roller,4357785,AT251282,,"John Deere 50C, 50ZTS, Hitachi EX40, EX45, EX50, EX50U, EX55U, EX55UR, EX55UR-3, EX58MU, ZX50U","John Deere 50C, 50ZTS, Hitachi EX40, EX45, EX50, EX50U, EX55U, EX55UR, EX55UR-3, EX58MU, ZX50U",,,,,John Deere 4357785 Bottom Roller,,High,URL provided; extraction not completed in this first pass,PENDING,DO NOT PUBLISH - needs RubberTrax verification,NO,https://store.rubbertrax.com/John-Deere-50C-50ZTS-Bottom-Roller-4357785-43p287.htm,RubberTrax URL present but extraction not completed/verified; do not publish part page.
28,John Deere,roller,bottom,bottom_roller,4640798,,"4340393, Hitachi A7605000N00","John Deere 17D, 17G,17ZTS, 17P, Hitachi EX5, EX8, EX12, EX17, ZAXIS ZX 17U-2, ZX17U-5N",,,,,,John Deere 4640798 Bottom Roller,,High,URL provided; extraction not completed in this first pass,PENDING,DO NOT PUBLISH - needs RubberTrax verification,NO,https://store.rubbertrax.com/John-Deere-17D-17G-17ZTS-Bottom-Roller-4340393-279p672.htm,RubberTrax URL present but extraction not completed/verified; do not publish part page.
29,John Deere,roller,bottom,bottom_roller,9237937,,4340535,"John Deere 26G, 26P, 27D, 30G,30P, 35D, 35G, 35P","John Deere 26G, 26P, 27D, 30G,30P, 35D, 35G, 35P",John Deere 35G�up to serial number 274466,,,,John Deere 9237937 Bottom Roller,,High,URL provided; extraction not completed in this first pass,PENDING,DO NOT PUBLISH - needs RubberTrax verification,NO,https://store.rubbertrax.com/John-Deere-27ZTS-35ZTS-Bottom-Track-Roller-4340535-45p318.htm,RubberTrax URL present but extraction not completed/verified; do not publish part page.
30,John Deere,roller,bottom,bottom_roller,9239528,,,"John Deere 50D, 50G, 50P, Hitachi ZX50U-2, ZX50U-3","John Deere 50D, 50G, 50P, Hitachi ZX50U-2, ZX50U-3",,,,,John Deere 9239528 Bottom Roller,,High,URL provided; extraction not completed in this first pass,PENDING,DO NOT PUBLISH - needs RubberTrax verification,NO,https://store.rubbertrax.com/John-Deere-50D-50G-Bottom-Rollers-9239528-45p739.htm,RubberTrax URL present but extraction not completed/verified; do not publish part page.
31,John Deere,roller,bottom,bottom_roller,AT336091,,"AT493206, AT336091, AT322746, AT366460, and ID2802","John Deere CT315, 317G, 319D, 319E, CT322, CT323D, CT323E, CT325G, CT329D, CT329E, CT331G, CT332, CT333D, CT333E, CT333G","John Deere CT315, 317G, 319D, 319E, CT322, CT323D, CT323E, CT325G, CT329D, CT329E, CT331G, CT332, CT333D, CT333E, CT333G","Fits John Deere 317G (J288093-up), 319E (G254929-up, J249321-up), CT 323E (G254917-up, J249322-up), CT 329-E (E236704-up), CT 333E (E236690-up)",,,,John Deere AT336091 Bottom Roller,,High,URL provided; extraction not completed in this first pass,PENDING,DO NOT PUBLISH - needs RubberTrax verification,NO,https://store.rubbertrax.com/John-Deere-Track-Loaders-Bottom-Roller-AT336091-45p282.htm,RubberTrax URL present but extraction not completed/verified; do not publish part page.
32,Kubota,roller,bottom,bottom_roller,RB511-21702,,"Kubota KX91-3, KX71-3, U25, U35, U35-3, U27-4, U30-3","Kubota KX91-3, KX71-3, U25, U35, U35-3, U27-4, U30-3",,,,,,Kubota RB511-21702 Bottom Roller,,High,URL provided; extraction not completed in this first pass,PENDING,DO NOT PUBLISH - needs RubberTrax verification,NO,https://store.rubbertrax.com/Kubota-KX91-3-KX71-3-U35-3-Lower-Roller-RB511-21702-17p29.htm,RubberTrax URL present but extraction not completed/verified; do not publish part page.
33,Kubota,roller,bottom,bottom_roller,RC101-21803,,"RD101-99900, RD301-99900, RC101-21803, RC101-21800, RD101-21902, RC301-21902","Kubota KX121-2, KX121-2SS, KX61-2, KX61-2SS, KX71-2, KX91-2, RX302","Kubota KX121-2, KX121-2SS, KX61-2, KX61-2SS, KX71-2, KX91-2, RX302",,,,,Kubota RC101-21803 Bottom Roller,,High,URL provided; extraction not completed in this first pass,PENDING,DO NOT PUBLISH - needs RubberTrax verification,NO,https://store.rubbertrax.com/Kubota-KX-121-2-Bottom-Track-Roller-17p221.htm,RubberTrax URL present but extraction not completed/verified; do not publish part page.
34,Kubota,roller,bottom,bottom_roller,RD101-99900,,"RD101-99900, RD301-99900, RC101-21803, RC101-21800, RD101-21902, RC301-21902","Kubota KX121-2, KX121-2SS, KX61-2, KX61-2SS, KX71-2, KX91-2, RX302","Kubota KX121-2, KX121-2SS, KX61-2, KX61-2SS, KX71-2, KX91-2, RX302",,,,,Kubota RD101-99900 Bottom Roller,,High,URL provided; extraction not completed in this first pass,PENDING,DO NOT PUBLISH - needs RubberTrax verification,NO,https://store.rubbertrax.com/Kubota-KX-121-2-Lower-Roller-17p231.htm,RubberTrax URL present but extraction not completed/verified; do not publish part page.
