record_id,import_batch,launch_priority,brand,part_category,part_subtype,primary_part_number,alt_part_numbers,superseded_part_numbers,oem_equivalent,product_name,compatible_models_text,compatible_models,equipment_type,track_sizes,serial_ranges,chassis_mount_notes,serial_notes,position_notes,installation_notes,wear_indicators,fitment_notes,confidence,imported_by_rtw,sold_by_rtw,owner_approved,verification_notes,source_urls,last_verified,publish_status,index_status,sitemap_include,date_added,date_modified,slug,seo_title,seo_h1,seo_h2,meta_description,canonical_type,breadcrumb_label,page_intro,custom_fitment_notes,wear_patterns,replacement_symptoms,operating_environments,installation_guidance,maintenance_notes,oem_references,terrain_applications,expert_tips,related_sprockets,related_rollers,related_idlers,related_carrier_rollers,related_track_sizes,price_tier,has_quantity_pricing,supplier_sku,supplier_name,lead_time_days,stock_status,seo_title_override,meta_description_override,verification_source
staged-008,rubbertrax-research-55,staged,Bobcat,roller,bottom,7013577,7279612; 6814890; 7314059,RubberTrax says typically five bottom rollers per side on E45 (ten per machine).,,Bobcat E45-E55 Bottom Roller 7013577 / 7279612,"Bobcat E45, E50, E55; also Bobcat 337 through 435.",,compact-track-loader,,,Newer bolt-style bottom roller; older stud/nut style available separately.,E50 B4GP11001+ requires outside guide roller. Does not fit E50z or E55z. Steel-track models may have alternate rollers; 7314059 is dual flange version for newer serials not listed.,,STAGED research row - verify before publishing,,,verified-researched,,,NO,,,,staged,NO,NO,,,,,Bobcat E45-E55 Bottom Roller 7013577 / 7279612,,,,,,Use as staged RubberTrax-verified enrichment. Create public part page only after owner sets should_publish_part_page=YES.,,,,,,,,,,,,,,,,,,,,Bobcat 7013577 Bottom Roller | Rubber Track Wholesale,Replacement bottom roller 7013577 for Bobcat machines. Verify serial number and fitment before ordering. Call Rubber Track Wholesale for help.,RubberTrax research
staged-009,rubbertrax-research-55,staged,Bobcat,roller,bottom,7004933,,,,,,,compact-track-loader,,,,,,STAGED research row - verify before publishing,,,verified-researched,,,NO,,,,staged,NO,NO,,,,,Bobcat 7004933 Bottom Roller,,,,,,RubberTrax URL present but extraction not completed/verified; do not publish part page.,,,,,,,,,,,,,,,,,,,,,,RubberTrax research
staged-010,rubbertrax-research-55,staged,Bobcat,roller,bottom,7013575,,,,,,,compact-track-loader,,,,,,STAGED research row - verify before publishing,,,verified-researched,,,NO,,,,staged,NO,NO,,,,,Bobcat 7013575 Bottom Roller,,,,,,RubberTrax URL present but extraction not completed/verified; do not publish part page.,,,,,,,,,,,,,,,,,,,,,,RubberTrax research
staged-011,rubbertrax-research-55,staged,Bobcat,roller,bottom,7022649,,,,,,,compact-track-loader,,,,,,STAGED research row - verify before publishing,,,verified-researched,,,NO,,,,staged,NO,NO,,,,,Bobcat 7022649 Bottom Roller,,,,,,RubberTrax URL present but extraction not completed/verified; do not publish part page.,,,,,,,,,,,,,,,,,,,,,,RubberTrax research
staged-012,rubbertrax-research-55,staged,Bobcat,sprocket,sprocket,7111447,,Outside diameter 12-1/4 in; keyway diameter 1-3/4 in. RubberTrax recommends changing sprockets with tracks when worn.,,Bobcat T110 Drive Sprocket 7111447,Bobcat T110 mini track loader; Baumalight TRL620D noted as interchangeable,,compact-track-loader,,,Drive sprocket; one per side.,,,STAGED research row - verify before publishing,,,verified-researched,,,NO,,,,staged,NO,NO,,,,,Bobcat T110 Drive Sprocket 7111447,,,,,,Use as staged RubberTrax-verified enrichment. Create public part page only after owner sets should_publish_part_page=YES.,,,,,,,,,,,,,,,,,,,,Bobcat 7111447 Sprocket Sprocket | Rubber Track Wholesale,Replacement sprocket sprocket 7111447 for Bobcat machines. Verify serial number and fitment before ordering. Call Rubber Track Wholesale for help.,RubberTrax research
staged-013,rubbertrax-research-55,staged,Bobcat,roller,bottom,7165324,7145234,Related sprocket 7134493 mentioned by RubberTrax.,,Bobcat 418/E08/E10 Bottom Roller 7165324,"Bobcat 418, E08, E10, E10E, E10Z",,compact-track-loader,,,Bottom roller assembly; comes fully assembled with bearing but shaft typically reusable; bolts not included.,,,STAGED research row - verify before publishing,,,verified-researched,,,NO,,,,staged,NO,NO,,,,,Bobcat 418/E08/E10 Bottom Roller 7165324,,,,,,Use as staged RubberTrax-verified enrichment. Create public part page only after owner sets should_publish_part_page=YES.,,,,,,,,,,,,,,,,,,,,Bobcat 7165324 Bottom Roller | Rubber Track Wholesale,Replacement bottom roller 7165324 for Bobcat machines. Verify serial number and fitment before ordering. Call Rubber Track Wholesale for help.,RubberTrax research
staged-014,rubbertrax-research-55,staged,Bobcat,roller,bottom,7233399,6693239,Call/verify serial before ordering.,,Bobcat Suspension Mount Bottom Roller 7233399 - High Serials,"Bobcat T550, T590, T595, T630, T650, T750, T770 with suspension undercarriage",,compact-track-loader,,,Suspension undercarriage; high-serial roller assembly.,Fits AJZV14001-AJZV14999 or AJZV15001+; if A7UJ11001+ or AJZV11001+ use 6693239.,,STAGED research row - verify before publishing,,,verified-researched,,,NO,,,,staged,NO,NO,,,,,Bobcat Suspension Mount Bottom Roller 7233399 - High Serials,,,,,,Use as staged RubberTrax-verified enrichment. Create public part page only after owner sets should_publish_part_page=YES.,,,,,,,,,,,,,,,,,,,,Bobcat 7233399 Bottom Roller | Rubber Track Wholesale,Replacement bottom roller 7233399 for Bobcat machines. Verify serial number and fitment before ordering. Call Rubber Track Wholesale for help.,RubberTrax research
staged-015,rubbertrax-research-55,staged,Bobcat,sprocket,drive,7107787,7165109; 7107786; 6715821; 7196807; 7227421,Older 6715821 is 4-7/8 inch shallow version; 7196807 and 7227421 are other options.,,Bobcat T300 Series CTL Deep Drive Sprocket 7107787,"Bobcat T200, T250, T300, T320, T630, T650 single speed, T740, T750 single speed, T770, T870 single speed up to B47C110000",,compact-track-loader,,,"Deep/dished 6-inch depth sprocket for newer wide final-drive motor; 17 teeth, 6 bolt holes, 6-1/4 in inside mounting diameter, 18-1/2 in outside diameter.","T740/T770/T870 have multiple sprocket options; verify serial, bolt holes and depth. T870 single speed up to B47C110000.",,STAGED research row - verify before publishing,,,verified-researched,,,NO,,,,staged,NO,NO,,,,,Bobcat T300 Series CTL Deep Drive Sprocket 7107787,,,,,,Use as staged RubberTrax-verified enrichment. Create public part page only after owner sets should_publish_part_page=YES.,,,,,,,,,,,,,,,,,,,,Bobcat 7107787 Drive Sprocket | Rubber Track Wholesale,Replacement drive sprocket 7107787 for Bobcat machines. Verify serial number and fitment before ordering. Call Rubber Track Wholesale for help.,RubberTrax research
staged-016,rubbertrax-research-55,staged,CAT,roller,bottom,139-6261,232-4466,"Related parts: sprocket 139-4304, idler 226-4049, bottom roller 232-4466.",,Caterpillar 301.5/301.6/301.8 Bottom Track Roller 139-6261,"Cat 301.5, 301.6, 301.6C, 301.8, 301.8C; Mitsubishi MM15",,compact-track-loader,,,Mini excavator bottom roller; hardware not included.,Lower serial numbers; Cat 301.5 up to 3YW13759. Higher serial ranges require 232-4466.,,STAGED research row - verify before publishing,,,verified-researched,,,NO,,,,staged,NO,NO,,,,,Caterpillar 301.5/301.6/301.8 Bottom Track Roller 139-6261,,,,,,Use as staged RubberTrax-verified enrichment. Create public part page only after owner sets should_publish_part_page=YES.,,,,,,,,,,,,,,,,,,,,CAT 139-6261 Bottom Roller | Rubber Track Wholesale,Replacement bottom roller 139-6261 for CAT machines. Verify serial number and fitment before ordering. Call Rubber Track Wholesale for help.,RubberTrax research
staged-017,rubbertrax-research-55,staged,CAT,roller,bottom,158-4765,,,,,,,compact-track-loader,,,,,,STAGED research row - verify before publishing,,,verified-researched,,,NO,,,,staged,NO,NO,,,,,CAT 158-4765 Bottom Roller,,,,,,RubberTrax URL present but extraction not completed/verified; do not publish part page.,,,,,,,,,,,,,,,,,,,,,,RubberTrax research
staged-018,rubbertrax-research-55,staged,CAT,roller,bottom,185-7280,,"Related Cat 302.5/303.5 undercarriage includes idlers 140-4009/172-2017, sprockets 140-4022/172-1965, top roller 146-6064.",,Cat 302.5/303.5/303CR Bottom Roller 185-7280,"Caterpillar 302.5, 303.5, 303CR; Mitsubishi MM25, MM35",,compact-track-loader,,,"Single flange roller, approx. 4-3/4 in diameter; 302.5 uses six rollers; 303.5/303CR use eight rollers. 10mm bolts not included.",,,STAGED research row - verify before publishing,,,verified-researched,,,NO,,,,staged,NO,NO,,,,,Cat 302.5/303.5/303CR Bottom Roller 185-7280,,,,,,Use as staged RubberTrax-verified enrichment. Create public part page only after owner sets should_publish_part_page=YES.,,,,,,,,,,,,,,,,,,,,CAT 185-7280 Bottom Roller | Rubber Track Wholesale,Replacement bottom roller 185-7280 for CAT machines. Verify serial number and fitment before ordering. Call Rubber Track Wholesale for help.,RubberTrax research
staged-019,rubbertrax-research-55,staged,CAT,roller,bottom,1857280,,,,,,,compact-track-loader,,,,,,STAGED research row - verify before publishing,,,verified-researched,,,NO,,,,staged,NO,NO,,,,,CAT 1857280 Bottom Roller,,,,,,RubberTrax URL present but extraction not completed/verified; do not publish part page.,,,,,,,,,,,,,,,,,,,,,,RubberTrax research
staged-020,rubbertrax-research-55,staged,CAT,roller,bottom,265-7674,422-0837,Superseded to 422-0837.,,Cat 304C CR / 305C CR Bottom Roller 265-7674,"Caterpillar 304CCR, 305CCR, 305DCR, 305ECR, 305E2, 305E2CR, 305.5D, 305.5DCR, 305.5E, 305.5E2, 305.5ECR, 303.5E2CR, 305.5E2FB, 306E2FB",,compact-track-loader,,,Single flange center guide bottom roller; bolts to track frame with two bolts.,305E2CR S/N DJX/H5M; 305.5D S/N FLZ; 305.5E2 S/N EJX/CR5; 305.5E2FB S/N WE2; 306E2FB S/N E2W noted by RubberTrax.,,STAGED research row - verify before publishing,,,verified-researched,,,NO,,,,staged,NO,NO,,,,,Cat 304C CR / 305C CR Bottom Roller 265-7674,,,,,,Use as staged RubberTrax-verified enrichment. Create public part page only after owner sets should_publish_part_page=YES.,,,,,,,,,,,,,,,,,,,,CAT 265-7674 Bottom Roller | Rubber Track Wholesale,Replacement bottom roller 265-7674 for CAT machines. Verify serial number and fitment before ordering. Call Rubber Track Wholesale for help.,RubberTrax research
staged-021,rubbertrax-research-55,staged,CAT,roller,bottom,266-8793,266-8793; 468-7455,RubberTrax says 266-8793 is superseded by Cat dealer part number 468-7455.,,Caterpillar 302.5C / 303CCR Bottom Roller 266-8793,"Cat 302.5C, 303CCR, 303ECR, 303.5C, 303.5CCR, 303.5D, 303.5DCR, 303.5E, 303.5ECR, 303.5E2CR, 304DCR, 304E, 304ECR, 304E2CR, 304.5E2 CR XTC",,compact-track-loader,,,Center flange inside-guide bottom roller; bolts not included.,No specific serial break extracted from page text; verify by serial before ordering.,,STAGED research row - verify before publishing,,,verified-researched,,,NO,,,,staged,NO,NO,,,,,Cat 302.5C / 303.5C Bottom Roller 266-8793,,,,,,Use as staged RubberTrax-verified enrichment. Create public part page only after owner sets should_publish_part_page=YES.,,,,,,,,,,,,,,,,,,,,Cat 266-8793 Bottom Roller | Rubber Track Wholesale,"Replacement bottom roller 266-8793 for Cat 302.5C, 303CCR, 303.5C and related mini excavators. Verify serial number and fitment before ordering.",RubberTrax research
staged-022,rubbertrax-research-55,staged,CAT,roller,bottom,372-5926,372-5926; 372-5958; 527-3878,Original part number 372-5926 superseded by 527-3878; 372-5958 also listed.,,Caterpillar 300.9D Bottom Roller 372-5926 / 527-3878,"Cat 300.9D S/N LJ2; Cat 300.9D VPS S/N TGP, DW2",,compact-track-loader,,,Mini excavator bottom roller; includes installation hardware per RubberTrax text.,RubberTrax states fitment is for the specified 300.9D serial breaks; verify serial before ordering.,,STAGED research row - verify before publishing,,,verified-researched,,,NO,,,,staged,NO,NO,,,,,Cat 300.9D Bottom Roller 372-5926 / 527-3878,,,,,,Use as staged RubberTrax-verified enrichment. Create public part page only after owner sets should_publish_part_page=YES.,,,,,,,,,,,,,,,,,,,,Cat 372-5926 Bottom Roller | Rubber Track Wholesale,Replacement bottom roller 372-5926 / 527-3878 for Cat 300.9D mini excavators. Verify serial number and fitment before ordering.,RubberTrax research
staged-023,rubbertrax-research-55,staged,CAT,roller,bottom,381-3040,,,,,,,compact-track-loader,,,,,,STAGED research row - verify before publishing,,,verified-researched,,,NO,,,,staged,NO,NO,,,,,CAT 381-3040 Bottom Roller,,,,,,RubberTrax URL present but extraction not completed/verified; do not publish part page.,,,,,,,,,,,,,,,,,,,,,,RubberTrax research
staged-024,rubbertrax-research-55,staged,CAT,roller,bottom,386-0791,,,,,,,compact-track-loader,,,,,,STAGED research row - verify before publishing,,,verified-researched,,,NO,,,,staged,NO,NO,,,,,CAT 386-0791 Bottom Roller,,,,,,RubberTrax URL present but extraction not completed/verified; do not publish part page.,,,,,,,,,,,,,,,,,,,,,,RubberTrax research
staged-025,rubbertrax-research-55,staged,CAT,roller,bottom,422-0837,265-7674,422-0837 is supersession from 265-7674.,,Cat 304C CR / 305C CR Bottom Roller 422-0837,Same page as 265-7674: Cat 304/305/305.5/306E2 family listed,,compact-track-loader,,,Single flange center guide bottom roller.,See 265-7674 serial notes.,,STAGED research row - verify before publishing,,,verified-researched,,,NO,,,,staged,NO,NO,,,,,Cat 304C CR / 305C CR Bottom Roller 422-0837,,,,,,Use as staged RubberTrax-verified enrichment. Create public part page only after owner sets should_publish_part_page=YES.,,,,,,,,,,,,,,,,,,,,CAT 422-0837 Bottom Roller | Rubber Track Wholesale,Replacement bottom roller 422-0837 for CAT machines. Verify serial number and fitment before ordering. Call Rubber Track Wholesale for help.,RubberTrax research
staged-026,rubbertrax-research-55,staged,John Deere,roller,bottom,4340535,,,,,,,compact-track-loader,,,,,,STAGED research row - verify before publishing,,,verified-researched,,,NO,,,,staged,NO,NO,,,,,John Deere 4340535 Bottom Roller,,,,,,RubberTrax URL present but extraction not completed/verified; do not publish part page.,,,,,,,,,,,,,,,,,,,,,,RubberTrax research
staged-027,rubbertrax-research-55,staged,John Deere,roller,bottom,4357785,,,,,,,compact-track-loader,,,,,,STAGED research row - verify before publishing,,,verified-researched,,,NO,,,,staged,NO,NO,,,,,John Deere 4357785 Bottom Roller,,,,,,RubberTrax URL present but extraction not completed/verified; do not publish part page.,,,,,,,,,,,,,,,,,,,,,,RubberTrax research
staged-028,rubbertrax-research-55,staged,John Deere,roller,bottom,4640798,,,,,,,compact-track-loader,,,,,,STAGED research row - verify before publishing,,,verified-researched,,,NO,,,,staged,NO,NO,,,,,John Deere 4640798 Bottom Roller,,,,,,RubberTrax URL present but extraction not completed/verified; do not publish part page.,,,,,,,,,,,,,,,,,,,,,,RubberTrax research
