brand,machine_model,component_type,primary_part_number,alternate_part_numbers,product_name,compatible_models,serial_notes,chassis_mount_notes,supersession_notes,researched_vs_verified,publish_status,generated_component_url,component_page_in_sitemap,standalone_part_page_in_sitemap,generates_product_schema,generates_parts_slug
Bobcat,320L,bottom-roller,6814874,6815111; 7136983,Bobcat 320/322 Bottom Track Roller; Bobcat 335/430 Carrier Roller,"Bottom roller: Bobcat 320D, 320E, 320G, 320J, 320L, 322D, 322E, 322G, 322J, 322L. Top/carrier roller: Bobcat 335, 430.",Does not fit serial numbers 511720000-5117300000; rubber-track-original undercarriages only; verify serial.,Bottom roller for Bobcat 320/322; carrier/top roller on Bobcat 335/430; phased out/replaced by 7136983 bolt-type installation.,Shaft threading M16; max torque 250 Nm / 185 ft-lb noted by RubberTrax.,researched,staged,https://rubbertrackwholesale.com/bottom-rollers/bobcat-320l,YES,NO,NO,NO
Bobcat,322,bottom-roller,6800510,6815115; 6814878; 6533654,Bobcat 6800510 Bottom Roller,"Bobcat 220; Bobcat mini excavators 220, 320, 320D, 320J, 322, 322D, 322G, 323",,Nut mounted,"Source was Summit Rubber Tracks / Parts ASAP, not RubberTrax.",researched,staged,https://rubbertrackwholesale.com/bottom-rollers/bobcat-322,YES,NO,NO,NO
Bobcat,322D,bottom-roller,6800510,6815115; 6814878; 6533654,Bobcat 6800510 Bottom Roller,"Bobcat 220; Bobcat mini excavators 220, 320, 320D, 320J, 322, 322D, 322G, 323",,Nut mounted,"Source was Summit Rubber Tracks / Parts ASAP, not RubberTrax.",researched,staged,https://rubbertrackwholesale.com/bottom-rollers/bobcat-322d,YES,NO,NO,NO
Bobcat,322D,bottom-roller,6814874,6815111; 7136983,Bobcat 320/322 Bottom Track Roller; Bobcat 335/430 Carrier Roller,"Bottom roller: Bobcat 320D, 320E, 320G, 320J, 320L, 322D, 322E, 322G, 322J, 322L. Top/carrier roller: Bobcat 335, 430.",Does not fit serial numbers 511720000-5117300000; rubber-track-original undercarriages only; verify serial.,Bottom roller for Bobcat 320/322; carrier/top roller on Bobcat 335/430; phased out/replaced by 7136983 bolt-type installation.,Shaft threading M16; max torque 250 Nm / 185 ft-lb noted by RubberTrax.,researched,staged,https://rubbertrackwholesale.com/bottom-rollers/bobcat-322d,YES,NO,NO,NO
Bobcat,322E,bottom-roller,6814874,6815111; 7136983,Bobcat 320/322 Bottom Track Roller; Bobcat 335/430 Carrier Roller,"Bottom roller: Bobcat 320D, 320E, 320G, 320J, 320L, 322D, 322E, 322G, 322J, 322L. Top/carrier roller: Bobcat 335, 430.",Does not fit serial numbers 511720000-5117300000; rubber-track-original undercarriages only; verify serial.,Bottom roller for Bobcat 320/322; carrier/top roller on Bobcat 335/430; phased out/replaced by 7136983 bolt-type installation.,Shaft threading M16; max torque 250 Nm / 185 ft-lb noted by RubberTrax.,researched,staged,https://rubbertrackwholesale.com/bottom-rollers/bobcat-322e,YES,NO,NO,NO
Bobcat,322G,bottom-roller,6800510,6815115; 6814878; 6533654,Bobcat 6800510 Bottom Roller,"Bobcat 220; Bobcat mini excavators 220, 320, 320D, 320J, 322, 322D, 322G, 323",,Nut mounted,"Source was Summit Rubber Tracks / Parts ASAP, not RubberTrax.",researched,staged,https://rubbertrackwholesale.com/bottom-rollers/bobcat-322g,YES,NO,NO,NO
Bobcat,322G,bottom-roller,6814874,6815111; 7136983,Bobcat 320/322 Bottom Track Roller; Bobcat 335/430 Carrier Roller,"Bottom roller: Bobcat 320D, 320E, 320G, 320J, 320L, 322D, 322E, 322G, 322J, 322L. Top/carrier roller: Bobcat 335, 430.",Does not fit serial numbers 511720000-5117300000; rubber-track-original undercarriages only; verify serial.,Bottom roller for Bobcat 320/322; carrier/top roller on Bobcat 335/430; phased out/replaced by 7136983 bolt-type installation.,Shaft threading M16; max torque 250 Nm / 185 ft-lb noted by RubberTrax.,researched,staged,https://rubbertrackwholesale.com/bottom-rollers/bobcat-322g,YES,NO,NO,NO
Bobcat,322J,bottom-roller,6814874,6815111; 7136983,Bobcat 320/322 Bottom Track Roller; Bobcat 335/430 Carrier Roller,"Bottom roller: Bobcat 320D, 320E, 320G, 320J, 320L, 322D, 322E, 322G, 322J, 322L. Top/carrier roller: Bobcat 335, 430.",Does not fit serial numbers 511720000-5117300000; rubber-track-original undercarriages only; verify serial.,Bottom roller for Bobcat 320/322; carrier/top roller on Bobcat 335/430; phased out/replaced by 7136983 bolt-type installation.,Shaft threading M16; max torque 250 Nm / 185 ft-lb noted by RubberTrax.,researched,staged,https://rubbertrackwholesale.com/bottom-rollers/bobcat-322j,YES,NO,NO,NO
Bobcat,322L,bottom-roller,6814874,6815111; 7136983,Bobcat 320/322 Bottom Track Roller; Bobcat 335/430 Carrier Roller,"Bottom roller: Bobcat 320D, 320E, 320G, 320J, 320L, 322D, 322E, 322G, 322J, 322L. Top/carrier roller: Bobcat 335, 430.",Does not fit serial numbers 511720000-5117300000; rubber-track-original undercarriages only; verify serial.,Bottom roller for Bobcat 320/322; carrier/top roller on Bobcat 335/430; phased out/replaced by 7136983 bolt-type installation.,Shaft threading M16; max torque 250 Nm / 185 ft-lb noted by RubberTrax.,researched,staged,https://rubbertrackwholesale.com/bottom-rollers/bobcat-322l,YES,NO,NO,NO
Bobcat,323,bottom-roller,6800510,6815115; 6814878; 6533654,Bobcat 6800510 Bottom Roller,"Bobcat 220; Bobcat mini excavators 220, 320, 320D, 320J, 322, 322D, 322G, 323",,Nut mounted,"Source was Summit Rubber Tracks / Parts ASAP, not RubberTrax.",researched,staged,https://rubbertrackwholesale.com/bottom-rollers/bobcat-323,YES,NO,NO,NO
Bobcat,325,bottom-roller,6814882,6815119; 7013575; 7013581; 7019167; 6810770,Bobcat 331/335/430 Mini Excavator Bottom Roller,"Bobcat 225, 231, 325, 328, 331, 334, 335, 430, E26, E32, E37, E42, E50. Also upper/carrier roller for Bobcat 337, 442, ZX75.",Steel track machines may use alternate roller 6814886.,Bottom center roller; older nut/stud vs newer bolt style can matter. 7013575 is newer bolt style.,Shaft threading 3/4 UNC; max torque 425 Nm / 310 ft-lb noted by RubberTrax.,researched,staged,https://rubbertrackwholesale.com/bottom-rollers/bobcat-325,YES,NO,NO,NO
Bobcat,328,bottom-roller,6814882,6815119; 7013575; 7013581; 7019167; 6810770,Bobcat 331/335/430 Mini Excavator Bottom Roller,"Bobcat 225, 231, 325, 328, 331, 334, 335, 430, E26, E32, E37, E42, E50. Also upper/carrier roller for Bobcat 337, 442, ZX75.",Steel track machines may use alternate roller 6814886.,Bottom center roller; older nut/stud vs newer bolt style can matter. 7013575 is newer bolt style.,Shaft threading 3/4 UNC; max torque 425 Nm / 310 ft-lb noted by RubberTrax.,researched,staged,https://rubbertrackwholesale.com/bottom-rollers/bobcat-328,YES,NO,NO,NO
Bobcat,331,bottom-roller,6814882,6815119; 7013575; 7013581; 7019167; 6810770,Bobcat 331/335/430 Mini Excavator Bottom Roller,"Bobcat 225, 231, 325, 328, 331, 334, 335, 430, E26, E32, E37, E42, E50. Also upper/carrier roller for Bobcat 337, 442, ZX75.",Steel track machines may use alternate roller 6814886.,Bottom center roller; older nut/stud vs newer bolt style can matter. 7013575 is newer bolt style.,Shaft threading 3/4 UNC; max torque 425 Nm / 310 ft-lb noted by RubberTrax.,researched,staged,https://rubbertrackwholesale.com/bottom-rollers/bobcat-331,YES,NO,NO,NO
Bobcat,334,bottom-roller,6814882,6815119; 7013575; 7013581; 7019167; 6810770,Bobcat 331/335/430 Mini Excavator Bottom Roller,"Bobcat 225, 231, 325, 328, 331, 334, 335, 430, E26, E32, E37, E42, E50. Also upper/carrier roller for Bobcat 337, 442, ZX75.",Steel track machines may use alternate roller 6814886.,Bottom center roller; older nut/stud vs newer bolt style can matter. 7013575 is newer bolt style.,Shaft threading 3/4 UNC; max torque 425 Nm / 310 ft-lb noted by RubberTrax.,researched,staged,https://rubbertrackwholesale.com/bottom-rollers/bobcat-334,YES,NO,NO,NO
Bobcat,335,bottom-roller,6814874,6815111; 7136983,Bobcat 320/322 Bottom Track Roller; Bobcat 335/430 Carrier Roller,"Bottom roller: Bobcat 320D, 320E, 320G, 320J, 320L, 322D, 322E, 322G, 322J, 322L. Top/carrier roller: Bobcat 335, 430.",Does not fit serial numbers 511720000-5117300000; rubber-track-original undercarriages only; verify serial.,Bottom roller for Bobcat 320/322; carrier/top roller on Bobcat 335/430; phased out/replaced by 7136983 bolt-type installation.,Shaft threading M16; max torque 250 Nm / 185 ft-lb noted by RubberTrax.,researched,staged,https://rubbertrackwholesale.com/bottom-rollers/bobcat-335,YES,NO,NO,NO
Bobcat,335,bottom-roller,6814882,6815119; 7013575; 7013581; 7019167; 6810770,Bobcat 331/335/430 Mini Excavator Bottom Roller,"Bobcat 225, 231, 325, 328, 331, 334, 335, 430, E26, E32, E37, E42, E50. Also upper/carrier roller for Bobcat 337, 442, ZX75.",Steel track machines may use alternate roller 6814886.,Bottom center roller; older nut/stud vs newer bolt style can matter. 7013575 is newer bolt style.,Shaft threading 3/4 UNC; max torque 425 Nm / 310 ft-lb noted by RubberTrax.,researched,staged,https://rubbertrackwholesale.com/bottom-rollers/bobcat-335,YES,NO,NO,NO
Bobcat,337,bottom-roller,6814882,6815119; 7013575; 7013581; 7019167; 6810770,Bobcat 331/335/430 Mini Excavator Bottom Roller,"Bobcat 225, 231, 325, 328, 331, 334, 335, 430, E26, E32, E37, E42, E50. Also upper/carrier roller for Bobcat 337, 442, ZX75.",Steel track machines may use alternate roller 6814886.,Bottom center roller; older nut/stud vs newer bolt style can matter. 7013575 is newer bolt style.,Shaft threading 3/4 UNC; max torque 425 Nm / 310 ft-lb noted by RubberTrax.,researched,staged,https://rubbertrackwholesale.com/bottom-rollers/bobcat-337,YES,NO,NO,NO
Bobcat,337,bottom-roller,6814890,6815127; 6693496; 7013577; 7279612,Bobcat 337/341/435 Bottom Roller,"Bobcat 337, 337D, X337, 341, 341G, 435, X435",,Previous generation threaded post/nut-style roller; superseded to bolt-type 7013577 / 7279612.,Five bottom rollers per side on Bobcat 337 noted by RubberTrax.,researched,staged,https://rubbertrackwholesale.com/bottom-rollers/bobcat-337,YES,NO,NO,NO
Bobcat,337,bottom-roller,7013577,7279612; 6814890; 7314059,Bobcat E45-E55 Bottom Roller 7013577 / 7279612,"Bobcat E45, E50, E55; also Bobcat 337 through 435.",E50 B4GP11001+ requires outside guide roller. Does not fit E50z or E55z. Steel-track models may have alternate rollers; 7314059 is dual flange version for newer serials not listed.,Newer bolt-style bottom roller; older stud/nut style available separately.,RubberTrax says typically five bottom rollers per side on E45 (ten per machine).,researched,staged,https://rubbertrackwholesale.com/bottom-rollers/bobcat-337,YES,NO,NO,NO
Bobcat,337D,bottom-roller,6814890,6815127; 6693496; 7013577; 7279612,Bobcat 337/341/435 Bottom Roller,"Bobcat 337, 337D, X337, 341, 341G, 435, X435",,Previous generation threaded post/nut-style roller; superseded to bolt-type 7013577 / 7279612.,Five bottom rollers per side on Bobcat 337 noted by RubberTrax.,researched,staged,https://rubbertrackwholesale.com/bottom-rollers/bobcat-337d,YES,NO,NO,NO
Bobcat,341,bottom-roller,6814890,6815127; 6693496; 7013577; 7279612,Bobcat 337/341/435 Bottom Roller,"Bobcat 337, 337D, X337, 341, 341G, 435, X435",,Previous generation threaded post/nut-style roller; superseded to bolt-type 7013577 / 7279612.,Five bottom rollers per side on Bobcat 337 noted by RubberTrax.,researched,staged,https://rubbertrackwholesale.com/bottom-rollers/bobcat-341,YES,NO,NO,NO
Bobcat,341G,bottom-roller,6814890,6815127; 6693496; 7013577; 7279612,Bobcat 337/341/435 Bottom Roller,"Bobcat 337, 337D, X337, 341, 341G, 435, X435",,Previous generation threaded post/nut-style roller; superseded to bolt-type 7013577 / 7279612.,Five bottom rollers per side on Bobcat 337 noted by RubberTrax.,researched,staged,https://rubbertrackwholesale.com/bottom-rollers/bobcat-341g,YES,NO,NO,NO
Bobcat,418,bottom-roller,7165324,7145234,Bobcat 418/E08/E10 Bottom Roller 7165324,"Bobcat 418, E08, E10, E10E, E10Z",,Bottom roller assembly; comes fully assembled with bearing but shaft typically reusable; bolts not included.,Related sprocket 7134493 mentioned by RubberTrax.,researched,staged,https://rubbertrackwholesale.com/bottom-rollers/bobcat-418,YES,NO,NO,NO
Bobcat,430,bottom-roller,6814874,6815111; 7136983,Bobcat 320/322 Bottom Track Roller; Bobcat 335/430 Carrier Roller,"Bottom roller: Bobcat 320D, 320E, 320G, 320J, 320L, 322D, 322E, 322G, 322J, 322L. Top/carrier roller: Bobcat 335, 430.",Does not fit serial numbers 511720000-5117300000; rubber-track-original undercarriages only; verify serial.,Bottom roller for Bobcat 320/322; carrier/top roller on Bobcat 335/430; phased out/replaced by 7136983 bolt-type installation.,Shaft threading M16; max torque 250 Nm / 185 ft-lb noted by RubberTrax.,researched,staged,https://rubbertrackwholesale.com/bottom-rollers/bobcat-430,YES,NO,NO,NO
Bobcat,430,bottom-roller,6814882,6815119; 7013575; 7013581; 7019167; 6810770,Bobcat 331/335/430 Mini Excavator Bottom Roller,"Bobcat 225, 231, 325, 328, 331, 334, 335, 430, E26, E32, E37, E42, E50. Also upper/carrier roller for Bobcat 337, 442, ZX75.",Steel track machines may use alternate roller 6814886.,Bottom center roller; older nut/stud vs newer bolt style can matter. 7013575 is newer bolt style.,Shaft threading 3/4 UNC; max torque 425 Nm / 310 ft-lb noted by RubberTrax.,researched,staged,https://rubbertrackwholesale.com/bottom-rollers/bobcat-430,YES,NO,NO,NO
Bobcat,435,bottom-roller,6814890,6815127; 6693496; 7013577; 7279612,Bobcat 337/341/435 Bottom Roller,"Bobcat 337, 337D, X337, 341, 341G, 435, X435",,Previous generation threaded post/nut-style roller; superseded to bolt-type 7013577 / 7279612.,Five bottom rollers per side on Bobcat 337 noted by RubberTrax.,researched,staged,https://rubbertrackwholesale.com/bottom-rollers/bobcat-435,YES,NO,NO,NO
Bobcat,435,bottom-roller,7013577,7279612; 6814890; 7314059,Bobcat E45-E55 Bottom Roller 7013577 / 7279612,"Bobcat E45, E50, E55; also Bobcat 337 through 435.",E50 B4GP11001+ requires outside guide roller. Does not fit E50z or E55z. Steel-track models may have alternate rollers; 7314059 is dual flange version for newer serials not listed.,Newer bolt-style bottom roller; older stud/nut style available separately.,RubberTrax says typically five bottom rollers per side on E45 (ten per machine).,researched,staged,https://rubbertrackwholesale.com/bottom-rollers/bobcat-435,YES,NO,NO,NO
Bobcat,442,bottom-roller,6814882,6815119; 7013575; 7013581; 7019167; 6810770,Bobcat 331/335/430 Mini Excavator Bottom Roller,"Bobcat 225, 231, 325, 328, 331, 334, 335, 430, E26, E32, E37, E42, E50. Also upper/carrier roller for Bobcat 337, 442, ZX75.",Steel track machines may use alternate roller 6814886.,Bottom center roller; older nut/stud vs newer bolt style can matter. 7013575 is newer bolt style.,Shaft threading 3/4 UNC; max torque 425 Nm / 310 ft-lb noted by RubberTrax.,researched,staged,https://rubbertrackwholesale.com/bottom-rollers/bobcat-442,YES,NO,NO,NO
Bobcat,864,bottom-roller,6689371,7233399; 6732901; 6686632,Bobcat T140 Bottom Roller,"Bobcat T140, T180, T190, T200, T250, T300, T320, T630, T650, T630 (S/N AJDT1101-AJDT12076 solid mount), T550 (A7UJ1101 & above, AJZV1101-AJZV13999), T590 (only for solid mount undercarriage S/N A3NR1101-A3NR15598), T650 (Only for solid mount), T750 (Only for solid mount), T770 (serial number specific & must have solid mount suspension), 864","T630 (S/N AJDT1101-AJDT12076), T550 (A7UJ1101 & above, AJZV1101-AJZV13999), T590 (S/N A3NR1101-A3NR15598, A3NS1101-A3NS11999, ALJU1101-ALJU16824, B3781101-B37811103)","Bolt-style mounting. Solid mount suspension required for T550, T590, T650, T750, T770.",6689371 NEW STYLE WITH BOLTS; supersedes 6732901 (post/nut style); 7233399 for suspension mount high serials,verified,,https://rubbertrackwholesale.com/bottom-rollers/bobcat-864,YES,YES,YES,YES
Bobcat,864,bottom-roller,6732901,6689371; 6686632; 31C1224,Bobcat CTL Bolt Style Bottom Roller / rigid mount family,"Bobcat T140, T180, T190, T200, T250, T300, T320, T550, T590, T630, T650, T750, T770, 864","T630 AJDT11001-AJDT12076 solid mount; T550 A7UJ11001+ / AJZV11001-AJZV13999; T590 A3NR11001-A3NR15598, A3NS11001-A3NS11999, ALJU11001-ALJU16824, B37811001-B37811103; T750 ANKA11001+ / ATF611001+; T770 requires serial/type verification.",Solid mount / rigid mount CTL bottom roller; newer bolt option; prior version post/nut 6732901. Not for suspension mount.,6689371/6686632 are common dealer part numbers; bolt hardware may be 31C1224.,researched,staged,https://rubbertrackwholesale.com/bottom-rollers/bobcat-864,YES,NO,NO,NO
Bobcat,E08,bottom-roller,7165324,7145234,Bobcat 418/E08/E10 Bottom Roller 7165324,"Bobcat 418, E08, E10, E10E, E10Z",,Bottom roller assembly; comes fully assembled with bearing but shaft typically reusable; bolts not included.,Related sprocket 7134493 mentioned by RubberTrax.,researched,staged,https://rubbertrackwholesale.com/bottom-rollers/bobcat-e08,YES,NO,NO,NO
Bobcat,E10,bottom-roller,7165324,7145234,Bobcat 418/E08/E10 Bottom Roller 7165324,"Bobcat 418, E08, E10, E10E, E10Z",,Bottom roller assembly; comes fully assembled with bearing but shaft typically reusable; bolts not included.,Related sprocket 7134493 mentioned by RubberTrax.,researched,staged,https://rubbertrackwholesale.com/bottom-rollers/bobcat-e10,YES,NO,NO,NO
Bobcat,E10E,bottom-roller,7165324,7145234,Bobcat 418/E08/E10 Bottom Roller 7165324,"Bobcat 418, E08, E10, E10E, E10Z",,Bottom roller assembly; comes fully assembled with bearing but shaft typically reusable; bolts not included.,Related sprocket 7134493 mentioned by RubberTrax.,researched,staged,https://rubbertrackwholesale.com/bottom-rollers/bobcat-e10e,YES,NO,NO,NO
Bobcat,E10Z,bottom-roller,7165324,7145234,Bobcat 418/E08/E10 Bottom Roller 7165324,"Bobcat 418, E08, E10, E10E, E10Z",,Bottom roller assembly; comes fully assembled with bearing but shaft typically reusable; bolts not included.,Related sprocket 7134493 mentioned by RubberTrax.,researched,staged,https://rubbertrackwholesale.com/bottom-rollers/bobcat-e10z,YES,NO,NO,NO
Bobcat,E26,bottom-roller,6814882,6815119; 7013575; 7013581; 7019167; 6810770,Bobcat 331/335/430 Mini Excavator Bottom Roller,"Bobcat 225, 231, 325, 328, 331, 334, 335, 430, E26, E32, E37, E42, E50. Also upper/carrier roller for Bobcat 337, 442, ZX75.",Steel track machines may use alternate roller 6814886.,Bottom center roller; older nut/stud vs newer bolt style can matter. 7013575 is newer bolt style.,Shaft threading 3/4 UNC; max torque 425 Nm / 310 ft-lb noted by RubberTrax.,researched,staged,https://rubbertrackwholesale.com/bottom-rollers/bobcat-e26,YES,NO,NO,NO
Bobcat,E32,bottom-roller,6814882,6815119; 7013575; 7013581; 7019167; 6810770,Bobcat 331/335/430 Mini Excavator Bottom Roller,"Bobcat 225, 231, 325, 328, 331, 334, 335, 430, E26, E32, E37, E42, E50. Also upper/carrier roller for Bobcat 337, 442, ZX75.",Steel track machines may use alternate roller 6814886.,Bottom center roller; older nut/stud vs newer bolt style can matter. 7013575 is newer bolt style.,Shaft threading 3/4 UNC; max torque 425 Nm / 310 ft-lb noted by RubberTrax.,researched,staged,https://rubbertrackwholesale.com/bottom-rollers/bobcat-e32,YES,NO,NO,NO
Bobcat,E37,bottom-roller,6814882,6815119; 7013575; 7013581; 7019167; 6810770,Bobcat 331/335/430 Mini Excavator Bottom Roller,"Bobcat 225, 231, 325, 328, 331, 334, 335, 430, E26, E32, E37, E42, E50. Also upper/carrier roller for Bobcat 337, 442, ZX75.",Steel track machines may use alternate roller 6814886.,Bottom center roller; older nut/stud vs newer bolt style can matter. 7013575 is newer bolt style.,Shaft threading 3/4 UNC; max torque 425 Nm / 310 ft-lb noted by RubberTrax.,researched,staged,https://rubbertrackwholesale.com/bottom-rollers/bobcat-e37,YES,NO,NO,NO
Bobcat,E42,bottom-roller,6814882,6815119; 7013575; 7013581; 7019167; 6810770,Bobcat 331/335/430 Mini Excavator Bottom Roller,"Bobcat 225, 231, 325, 328, 331, 334, 335, 430, E26, E32, E37, E42, E50. Also upper/carrier roller for Bobcat 337, 442, ZX75.",Steel track machines may use alternate roller 6814886.,Bottom center roller; older nut/stud vs newer bolt style can matter. 7013575 is newer bolt style.,Shaft threading 3/4 UNC; max torque 425 Nm / 310 ft-lb noted by RubberTrax.,researched,staged,https://rubbertrackwholesale.com/bottom-rollers/bobcat-e42,YES,NO,NO,NO
Bobcat,E45,bottom-roller,7013577,7279612; 6814890; 7314059,Bobcat E45-E55 Bottom Roller 7013577 / 7279612,"Bobcat E45, E50, E55; also Bobcat 337 through 435.",E50 B4GP11001+ requires outside guide roller. Does not fit E50z or E55z. Steel-track models may have alternate rollers; 7314059 is dual flange version for newer serials not listed.,Newer bolt-style bottom roller; older stud/nut style available separately.,RubberTrax says typically five bottom rollers per side on E45 (ten per machine).,researched,staged,https://rubbertrackwholesale.com/bottom-rollers/bobcat-e45,YES,NO,NO,NO
Bobcat,E50,bottom-roller,6814882,6815119; 7013575; 7013581; 7019167; 6810770,Bobcat 331/335/430 Mini Excavator Bottom Roller,"Bobcat 225, 231, 325, 328, 331, 334, 335, 430, E26, E32, E37, E42, E50. Also upper/carrier roller for Bobcat 337, 442, ZX75.",Steel track machines may use alternate roller 6814886.,Bottom center roller; older nut/stud vs newer bolt style can matter. 7013575 is newer bolt style.,Shaft threading 3/4 UNC; max torque 425 Nm / 310 ft-lb noted by RubberTrax.,researched,staged,https://rubbertrackwholesale.com/bottom-rollers/bobcat-e50,YES,NO,NO,NO
Bobcat,E50,bottom-roller,7013577,7279612; 6814890; 7314059,Bobcat E45-E55 Bottom Roller 7013577 / 7279612,"Bobcat E45, E50, E55; also Bobcat 337 through 435.",E50 B4GP11001+ requires outside guide roller. Does not fit E50z or E55z. Steel-track models may have alternate rollers; 7314059 is dual flange version for newer serials not listed.,Newer bolt-style bottom roller; older stud/nut style available separately.,RubberTrax says typically five bottom rollers per side on E45 (ten per machine).,researched,staged,https://rubbertrackwholesale.com/bottom-rollers/bobcat-e50,YES,NO,NO,NO
